2.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/2.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/3.ll']' returned non-zero exit status 1.
3.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/3.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/4.ll']' returned non-zero exit status 1.
4.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/4.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/5.ll']' returned non-zero exit status 1.
5.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/5.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/6.ll']' returned non-zero exit status 1.
6.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/6.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/7.ll']' returned non-zero exit status 1.
7.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/7.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/8.ll']' returned non-zero exit status 1.
8.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/8.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/9.ll']' returned non-zero exit status 1.
9.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/9.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/10.ll']' returned non-zero exit status 1.
10.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/10.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/11.ll']' returned non-zero exit status 1.
12.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/12.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/13.ll']' returned non-zero exit status 1.
13.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/13.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/14.ll']' returned non-zero exit status 1.
14.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/14.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/15.ll']' returned non-zero exit status 1.
15.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/15.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/16.ll']' returned non-zero exit status 1.
16.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/16.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/17.ll']' returned non-zero exit status 1.
20.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/20.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/21.ll']' returned non-zero exit status 1.
21.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/21.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/22.ll']' returned non-zero exit status 1.
22.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/22.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/23.ll']' returned non-zero exit status 1.
23.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/23.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/24.ll']' returned non-zero exit status 1.
24.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/24.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/25.ll']' returned non-zero exit status 1.
25.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/25.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/26.ll']' returned non-zero exit status 1.
26.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/26.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/27.ll']' returned non-zero exit status 1.
27.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/27.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/28.ll']' returned non-zero exit status 1.
28.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/28.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/29.ll']' returned non-zero exit status 1.
29.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/29.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/30.ll']' returned non-zero exit status 1.
30.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/30.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/31.ll']' returned non-zero exit status 1.
31.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/31.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/32.ll']' returned non-zero exit status 1.
33.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/33.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/34.ll']' returned non-zero exit status 1.
34.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/34.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/35.ll']' returned non-zero exit status 1.
