#statement,index
"<@ID> = internal global { i8 } zeroinitializer, align 1",0
"<@ID> = global i32 <INT>, align 4",1
"<@ID> = private unnamed_addr constant [42 x i8]  <STRING>, align 1",2
"<@ID> = private unnamed_addr constant [12 x i8]  <STRING>, align 1",3
"<@ID> = private unnamed_addr constant [68 x i8]  <STRING>, align 1",4
"<@ID> = private unnamed_addr constant [2 x i8]  <STRING>, align 1",5
"<@ID> = private unnamed_addr constant [17 x i8]  <STRING>, align 1",6
"<@ID> = private unnamed_addr constant [1 x i8] zeroinitializer, align 1",7
"<@ID> = private unnamed_addr constant [4 x i8]  <STRING>, align 1",8
"<@ID> = private unnamed_addr constant [21 x i8]  <STRING>, align 1",9
"<@ID> = private unnamed_addr constant [24 x i8]  <STRING>, align 1",10
"<@ID> = private unnamed_addr constant [32 x i8]  <STRING>, align 1",11
"<@ID> = private unnamed_addr constant [20 x i8]  <STRING>, align 1",12
"<@ID> = private unnamed_addr constant [29 x i8]  <STRING>, align 1",13
"<@ID> = private unnamed_addr constant [38 x i8]  <STRING>, align 1",14
"<@ID> = private unnamed_addr constant [37 x i8]  <STRING>, align 1",15
"<@ID> = private unnamed_addr constant [30 x i8]  <STRING>, align 1",16
"<@ID> = private unnamed_addr constant [28 x i8]  <STRING>, align 1",17
"<@ID> = private unnamed_addr constant [33 x i8]  <STRING>, align 1",18
"<@ID> = private unnamed_addr constant [10 x i8]  <STRING>, align 1",19
"<@ID> = private unnamed_addr constant [23 x i8]  <STRING>, align 1",20
"<@ID> = private unnamed_addr constant [35 x i8]  <STRING>, align 1",21
"<@ID> = private unnamed_addr constant [36 x i8]  <STRING>, align 1",22
"<@ID> = private unnamed_addr constant [31 x i8]  <STRING>, align 1",23
"<@ID> = private unnamed_addr constant [16 x i8]  <STRING>, align 1",24
"<@ID> = private unnamed_addr constant [11 x i8]  <STRING>, align 1",25
"<@ID> = private unnamed_addr constant [25 x i8]  <STRING>, align 1",26
"<@ID> = internal unnamed_addr global i32 <INT>, align 4",27
"<@ID> = private unnamed_addr constant [44 x i8]  <STRING>, align 1",28
"<@ID> = private unnamed_addr constant [43 x i8]  <STRING>, align 1",29
"<@ID> = private unnamed_addr constant [9 x i8]  <STRING>, align 1",30
