 # occ   statement (in alphabetical order)
7302389   !UNK
  3580   <%ID> = add <16 x i16> <%ID>, <%ID>
   584   <%ID> = add <16 x i32> <%ID>, <%ID>
   348   <%ID> = add <16 x i8> <%ID>, <%ID>
   866   <%ID> = add <2 x i64> <%ID>, <%ID>
  1425   <%ID> = add <2 x i64> <%ID>, <i64 <INT>, i64 <INT>>
  2764   <%ID> = add <32 x i8> <%ID>, <%ID>
  1402   <%ID> = add <4 x i16> <%ID>, <%ID>
115973   <%ID> = add <4 x i32> <%ID>, <%ID>
  2880   <%ID> = add <4 x i32> <%ID>, <i32 <INT>, i32 <INT>, i32 <INT>, i32 <INT>>
  4329   <%ID> = add <4 x i64> <%ID>, <%ID>
  3958   <%ID> = add <4 x i64> <%ID>, <i64 <INT>, i64 <INT>, i64 <INT>, i64 <INT>>
  1494   <%ID> = add <4 x i8> <%ID>, <%ID>
  6320   <%ID> = add <8 x i16> <%ID>, <%ID>
 15377   <%ID> = add <8 x i32> <%ID>, <%ID>
  1969   <%ID> = add <8 x i32> <%ID>, <i32 <INT>, i32 <INT>, i32 <INT>, i32 <INT>, i32 <INT>, i32 <INT>, i32 <INT>, i32 <INT>>
   343   <%ID> = add <8 x i64> <%ID>, <i64 <INT>, i64 <INT>, i64 <INT>, i64 <INT>, i64 <INT>, i64 <INT>, i64 <INT>, i64 <INT>>
  6392   <%ID> = add <8 x i8> <%ID>, <%ID>
   483   <%ID> = add i128 <%ID>, <INT>
 35237   <%ID> = add i16 <%ID>, <%ID>
  1068   <%ID> = add i16 <%ID>, <INT>
106934   <%ID> = add i32 <%ID>, <%ID>
 78228   <%ID> = add i32 <%ID>, <INT>
505853   <%ID> = add i64 <%ID>, <%ID>
555893   <%ID> = add i64 <%ID>, <INT>
 40541   <%ID> = add i8 <%ID>, <%ID>
  9257   <%ID> = add i8 <%ID>, <INT>
   506   <%ID> = add nsw <16 x i32> <%ID>, <%ID>
   534   <%ID> = add nsw <2 x i64> <%ID>, <%ID>
   380   <%ID> = add nsw <32 x i32> <%ID>, <%ID>
 20248   <%ID> = add nsw <4 x i32> <%ID>, <%ID>
  3278   <%ID> = add nsw <4 x i64> <%ID>, <%ID>
 40618   <%ID> = add nsw <8 x i32> <%ID>, <%ID>
   356   <%ID> = add nsw <8 x i64> <%ID>, <%ID>
169791   <%ID> = add nsw i32 <%ID>, <%ID>
123296   <%ID> = add nsw i32 <%ID>, <INT>
554894   <%ID> = add nsw i64 <%ID>, <%ID>
669246   <%ID> = add nsw i64 <%ID>, <INT>
   534   <%ID> = add nsw i8 <%ID>, <INT>
  2562   <%ID> = add nuw i32 <%ID>, <INT>
 25312   <%ID> = add nuw i64 <%ID>, <INT>
  9151   <%ID> = add nuw nsw i32 <%ID>, <%ID>
 27811   <%ID> = add nuw nsw i32 <%ID>, <INT>
